business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Advanced IV Health,AZ,Tucson,https://advancedivhealth.com/,jesse@advancedivhealth.com,jesse@advancedivhealth.com; info@faithlighttravel.com; advancedivhealth@gmail.com; rochoji@icloud.com,(520) 400-0819,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Alive AZ IV, LLC",AZ,,,hello@aliveaziv.com,hello@aliveaziv.com,6026187762,,Office use NAD+,,med spa / clinic (intake form),peptide intake form (Drive),,contact: Stephanie Fenton; states served: Arizona
"Anti-Aging & Wellness Med Spa in Tucson, Az",AZ,Tucson,https://bespokebeautyusa.com/,info@bespokebeautyusa.com,info@bespokebeautyusa.com,(520) 989-3174,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Arcadia Wellness Center,AZ,Phoenix,https://arcadiawellnesscenter.com/,info@arcadiawellnesscenter.com,info@arcadiawellnesscenter.com,(480) 351-3688,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Arizona Trim Clinic,AZ,Tucson,https://arizonatrimclinic.com/,alicia@southfloridatrimclinic.com,alicia@southfloridatrimclinic.com,(239) 422-6350,,"glp-1, glp1, nad+, peptide, peptides, semaglutide, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Arrowhead Medical & Wellness Center,AZ,Phoenix,https://arrowheadmedwc.com/,amwc.support@arrowheadmedwc.com,amwc.support@arrowheadmedwc.com,(602) 694-5603; (623) 323-2891; (790) 568-2049,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
AZ Vitality and Wellness ›,AZ,Phoenix,https://az-vitality.com/,admin@azivvitality.com,admin@azivvitality.com,(602) 540-3547,,"aod-9604, bpc-157, cjc-1295, glp-1, ipamorelin, nad+, peptide, peptides, pt-141, sermorelin, tb-500, thymosin",12,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Beauty and Body Medlounge,AZ,,,theshortnurse.np@gmail.com,theshortnurse.np@gmail.com,9286514649,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Heidi Waldorf; states served: California and Arizona
Beauty Bar Aesthetics,AZ,Phoenix,https://beautybaraz.com/,info@beautybaraz.com,info@beautybaraz.com,(602) 786-3500,,"nad+, peptide, peptides, retatrutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Behavior Innovation,AZ,,,carolyn.tellez@behaviorinnovation.org,carolyn.tellez@behaviorinnovation.org,520-244-4680,,Patient Specific Tirzepatide,,med spa / clinic (intake form),peptide intake form (Drive),,contact: Carolyn Tellez; states served: Arizona
