business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
4Ever Young Anti Aging Solutions,GA,Atlanta,https://4everyoungantiaging.com/,info@4everyoungfortmyers.com,info@4everyoungfortmyers.com; info@fyinstitute.com; marketing@fyinstitute.com,(239) 414-3844,,"glp-1, peptide, semaglutide, tesofensine, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Alice’s Psychiatry & Wellness,GA,,,info@aliceswellness.com,info@aliceswellness.com,4045668045,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,"contact: Omoyeme Ehizuelen; states served: GA, MD, WA, CO, DE, IA, NM"
Artisan Plastic Surgery,GA,Atlanta,https://artisanplasticsurgery.com/,info@artisanbeaute.com,info@artisanbeaute.com,(404) 851-1998; (762) 232-8831; (770) 637-2919,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Atlanta Face & Body,GA,Atlanta,https://atlantafaceandbody.com/,info@atlantafaceandbody.com,info@atlantafaceandbody.com,(678) 606-5788; (678) 888-3223,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Atlanta Medical Institute,GA,Atlanta,https://atlantamedicalinstitute.com/,matt@cmspainrehab.com,matt@cmspainrehab.com,(404) 266-2294; (404) 341-4819,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Balanced Aesthetics + Wellness -,GA,Atlanta,https://balancedaestheticsmedspa.com/,info@balancedaestheticsmedspa.com,info@balancedaestheticsmedspa.com,(470) 226-2390,,"glp-1, nad+, peptide, peptides, semaglutide, thymosin, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Bella Medspa,GA,Atlanta,https://bellamedspaatl.com/,bella@bellamedspaatl.com,bella@bellamedspaatl.com,(470) 282-0397; (678) 908-3491,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Bleu Medspa,GA,,,chancebusiness2023@gmail.com,chancebusiness2023@gmail.com,470-333-9950,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Sheimeita Chance; states served: Georgia
Buckhead Plastic Surgery | Atlanta GA,GA,Atlanta,https://buckheadplasticsurgery.com/,christina@mysticparc.com,christina@mysticparc.com,(404) 205-8701; (404) 367-9005; (404) 465-1234,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Cornerstone Pediatrics,GA,,,jennifer@cornerstoneped.com,jennifer@cornerstoneped.com,4043948001,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Jennifer Cantrell; states served: Georgia
Ecobel Med Spa,GA,Atlanta,https://ecobelmedspa.com/,info@ecobelmedspa.com,info@ecobelmedspa.com; enava@ecobelmedspa.com; info@ecobelmedspa.wpenginepowered.com; ecobeloffice@gmail.com,(404) 960-0812; (470) 670-0450,,"bpc-157, glp-1, ipamorelin, peptide, peptides, semaglutide, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
