business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Embolden MedSpa,IN,Indianapolis,https://emboldenmedspa.com/,info@emboldenmedspa.com,info@emboldenmedspa.com,(317) 314-1074; (317) 344-9835,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Klarity Mental Health & Wellness,IN,Indianapolis,https://getklarity.com/,info@getklarity.com,info@getklarity.com,(317) 777-1034; (855) 277-4349,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
LaserAway,IN,Indianapolis,https://laseraway.com/,contact@laseraway.com,contact@laseraway.com; hello@laseraway.net; calendly.alamoranch@laseraway.net; calendly.albuquerque@laseraway.net; calendly.alexandriaoldtown@laseraway.net; calendly.algonquin@laseraway.net,(855) 577-0907; (888) 760-8186; (888) 965-2737,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Mint Aesthetics & Skin,IN,Indianapolis,https://mintaestheticsandskin.com/,keely@mintaestheticsandskin.com,keely@mintaestheticsandskin.com,(317) 748-3169,,"ghk-cu, glp-1, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
NWI Integrative Health & Wellness,IN,,,nwiintegrativehealth@gmail.com,nwiintegrativehealth@gmail.com,2192950900,,"Office use Semaglutide, Office use Tirzepatide,",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Stacy Taylor; states served: Indiana
PaigeMarieNP,IN,,,jamison360@frontier.com,jamison360@frontier.com,260 316-0652,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide, NAD. Peptides. Vitamins.",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Paige Jamison; states served: Indiana and Michigan
Plastic Surgeon Indiana,IN,Indianapolis,https://indyplasticsurgery.com/,ashley_m_youmell@keybank.com,ashley_m_youmell@keybank.com,(317) 684-4996; (317) 787-3260; (317) 913-3260,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Premier Vitality Clinic,IN,,,jillvantholen@yahoo.com,jillvantholen@yahoo.com,2198086073,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,"contact: Jill Van Tholen; states served: Indiana, Illinois (need in person visits)"
Premier Weight Loss,IN,Indianapolis,https://pwlindy.com/,info@premierweightlossindy.com,info@premierweightlossindy.com,(317) 567-9100; (317) 643-4444,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Pure Image Laser and Spa,IN,Indianapolis,https://pureimagelaserandspa.com/,info@pureimagelaserandspa.com,info@pureimagelaserandspa.com,(317) 820-5288,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
