business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Advanced Body Medical,MI,Detroit,https://advancedbodymedical.com/,advancedbodymed@gmail.com,advancedbodymed@gmail.com,(734) 697-4244,,"glp-1, peptide, peptides, sermorelin",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aesthetic Medica - Dearborn,MI,Detroit,https://aestheticmedi.com/,info@aestheticmedi.com,info@aestheticmedi.com,(313) 277-0300; (313) 277-4045,,"peptide, peptides, semaglutide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aesthetics & Beyond Med Spa,MI,Detroit,https://abluxurymedspa.com/,info@abluxurymedspa.com,info@abluxurymedspa.com,(248) 996-1133,,"bpc-157, glp-1, nad+, peptide, peptides, semaglutide, sermorelin, thymosin",8,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aesthetics Lab Detroit - 800,MI,Detroit,https://aestheticslabdetroit.com/,hello@aestheticslabdetroit.com,hello@aestheticslabdetroit.com,(586) 333-3223,,"glp-1, peptide, semaglutide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Allure Medical,MI,Detroit,https://alluremedical.com/,info@alluremedical.com,info@alluremedical.com,(800) 577-2570; (866) 611-3656; (877) 255-8734,,"glp-1, glp1, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
American Regenerative Clinic,MI,Detroit,https://americanregen.com/,contact@americanregen.com,contact@americanregen.com,(248) 876-4242,,"bpc-157, cjc1295, nad+, peptide, peptides",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Drive Wellness,MI,,,andrea@drivewellness.info,andrea@drivewellness.info,5177122541,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Andrea Perry; states served: Michigan
Eleven Detroit: Wellness for Every Body in Detroit,MI,Detroit,https://elevendetroit.co/,eleven11detroit@gmail.com,eleven11detroit@gmail.com,(313) 751-3284,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Face Beauty Science | FACE the #1 Integrative Beauty Authority,MI,Detroit,https://facebeautyscience.com/,media@facebeautyscience.com,media@facebeautyscience.com,(248) 663-0161,,"bpc-157, cjc-1295, ghk cu, ghk-cu, nad+, peptide, peptides, thymosin",8,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Haus of Wellness,MI,Detroit,https://hausofwellnessmi.com/,admin@hausofwellnessmi.com,admin@hausofwellnessmi.com,(248) 838-3082,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Hope At home healthcare,MI,,,ola4411@yahoo.com,ola4411@yahoo.com,NIS 5862481251,,Patient Specific Tirzepatide,,med spa / clinic (intake form),peptide intake form (Drive),,contact: Ola Elsaid; states served: Michigan
Medic Health & Wellnesa,MI,,,medichealthwellness@gmail.com,medichealthwellness@gmail.com,307-285-9298,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,"contact: Erinma Ezeugwa; states served: Az, ID, WA, CO, WY, KS, SD, ND, NE, IL,"
Monarch Lifestyle Medicine,MI,Detroit,https://monarchlifestylemed.com/,info@monarchlifestylemed.com,info@monarchlifestylemed.com,(248) 592-7112; (248) 923-5052,,"cjc-1295, ghk-cu, glp-1, gonadorelin, ipamorelin, nad+, peptide, peptides, pt-141, semaglutide, sermorelin, tesamorelin, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
omspa,MI,Detroit,https://omdayspa.com/,omspa@hotmail.com,omspa@hotmail.com,(313) 565-9686; (313) 565-9687,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Orchid Wellness,MI,,,katie@orchid-wellness.com,katie@orchid-wellness.com,6162608034,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Katie Van Heck; states served: Michigan
Revive Lounge Management Company,MI,,,revivelounge1@gmail.com,revivelounge1@gmail.com,3133485639,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Karina Hernández; states served: Michigan
RxPepsDirect,MI,Detroit,https://rxpepsdirect.com/,support@rxpepsdirect.com,support@rxpepsdirect.com,(260) 824-0367,,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, glp-1, gonadorelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, tesofensine, thymosin, tirzepatide",28,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Total wellness center,MI,,,crobinson@totalwellnessmichigan.com,crobinson@totalwellnessmichigan.com,8103063737,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide, NAD, peptides",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Cathy Robinson; states served: Michigan
Zuliani Facial Aesthetics,MI,Detroit,https://zulianimd.com/,kzuliani@zulianimd.com,kzuliani@zulianimd.com,(248) 322-3362; (248) 332-3362; (248) 975-7356,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Accents Cosmetic Surgery in Michigan,MI,Detroit,https://accentscosmeticsurgery.com/,,,(866) 389-0168; (866) 853-5674,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
BOYD,MI,Detroit,https://boydbeauty.com/,,,(248) 433-1900; (313) 284-4477; (734) 669-6000,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Spa: Your Skin and Health is our (PRIORITY),MI,Detroit,https://ajeless.com/,,,(248) 465-8000; (248) 465-8700,,"glp-1, peptide, peptides, semaglutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Michigan Weight Loss Institute,MI,Detroit,https://miweightlossinstitute.com/,,,(248) 573-3110; (586) 287-7330,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
RegenCen,MI,Detroit,https://regencen.com/,,,(231) 244-4309; (231) 244-4325; (231) 347-7395,,"bpc-157, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Rojas Regenerative Institute,MI,Detroit,https://rojasinstitute.com/,,,(248) 939-8534,,"bpc-157, glp-1, peptide, peptides, pt141, semaglutide, sermorelin, tb500, thymosin, tirzepatide",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Rose MD Aesthetics,MI,Detroit,https://rosemdaesthetics.com/,,,(248) 530-1023,,"glp-1, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Spa 43,MI,Detroit,https://spa43.com/,,,,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Veda Hydration,MI,Detroit,https://vedahydration.com/,,,(313) 989-1231,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Xpress Health And Wellness,MI,Detroit,https://myxpresshealth.com/,,,(248) 775-0022,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
