business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
"Advanced Health and Vitality Center, LLC",MN,Minneapolis,https://advancedhealthandvitality.com/,frontdesk@ahvhealth.com,frontdesk@ahvhealth.com,(216) 495-6119; (534) 735-4052; (534) 735-4093,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Ellena Aesthetics,MN,Minneapolis,https://ellenaaesthetics.com/,clinicellena@gmail.com,clinicellena@gmail.com,(952) 500-0577,,"peptide, peptides, thymosin, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Enlightenment Psychiatry,MN,,,mackenzie@enlightenmentpsychiatry.org,mackenzie@enlightenmentpsychiatry.org,3202262361,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Mackenzie snortum; states served: Minnesota
Infinite Youth Medical Spa,MN,Minneapolis,https://infiniteyouthmedical.com/,info@infiniteyouthmedical.com,info@infiniteyouthmedical.com,(651) 377-5072; (952) 500-0350,,"5-amino-1mq, bpc-157, epitalon, ghk-cu, glp-1, kisspeptin, nad+, oxytocin, peptide, peptides, semaglutide, sermorelin, tb-500, tesofensine, thymosin, tirzepatide",16,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Ivy Aesthetics Medical Spa,MN,Minneapolis,https://ivyaestheticmedspa.com/,ivyaestheticsmedspa@gmail.com,ivyaestheticsmedspa@gmail.com,(952) 900-6076,,"bpc-157, ghk-cu, glp-1, nad+, peptide, peptides, semaglutide, tb500, tirzepatide",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
KP,MN,,,paradiskaci88@gmail.com,paradiskaci88@gmail.com,5072366623,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Kaci Paradis; states served: MN
Lifespan Health,MN,Minneapolis,https://lifespanhealthmn.com/,lifespancim@gmail.com,lifespancim@gmail.com; mrawson@lifespanim.com,(763) 210-6820; (952) 546-5322,,"glp-1, nad+, peptide, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Lite Medical,MN,Minneapolis,https://litemedicalclinic.com/,info@litemedicalclinic.com,info@litemedicalclinic.com; admin@litemedicalclinic.com; nblitz@exec-counsel.com,(703) 391-1188; (952) 260-9520,,"aod-9604, bpc-157, glp-1, ipamorelin, nad+, peptide, peptides, pt-141, semaglutide, sermorelin, tirzepatide",11,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
MAGNOLIA AESTHETICS AND WELLNESS,MN,Minneapolis,https://magnoliaaestheticsandwellnessmn.com/,magnoliaaestheticsandwellness@gmail.com,magnoliaaestheticsandwellness@gmail.com,(612) 321-8553,,"glp-1, nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Specialists,MN,Minneapolis,https://medicalspecialistsmn.com/,inquiries@medicalsp.net,inquiries@medicalsp.net,(952) 225-5400,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
