business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Appalachian Medical Health and Wellness,NC,,,appmedhw1@gmail.com appmedhw1@att.net,appmedhw1@gmail.com appmedhw1@att.net,828-544-5317,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Christina Biggerstaff; states served: NC
Blue Sky MD,NC,Charlotte,https://blueskymd.com/,info@blueskymd.com,info@blueskymd.com,(336) 245-9521; (336) 252-3993; (704) 444-0170,,"glp-1, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
BodyLase® Med Spa,NC,Raleigh,https://getbodylase.com/,info@getbodylase.com,info@getbodylase.com; info@bodylase.wpenginepowered.com,(919) 299-0526; (919) 359-1741; (919) 480-8003,,"glp-1, semaglutide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Carawan Health PLLC,NC,,,rob@carawanhealth.com,rob@carawanhealth.com,9103759595,,"Patient specific Semaglutide, Patient Specific Tirzepatide, Office use NAD+",,med spa / clinic (intake form),peptide intake form (Drive),,contact: William Carawan; states served: North Carolina
Carolina HealthSpan Institute,NC,Charlotte,https://carolinahealthspan.com/,info@carolinahealthspan.com,info@carolinahealthspan.com; micah@micahrich.com,(704) 333-4817,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Charlotte Medical Aesthetics,NC,Charlotte,https://charlottemedicalaesthetics.com/,hello@cltmedaesthetics.com,hello@cltmedaesthetics.com,(980) 704-4206,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Dr. Scott's Restorative Health & Aesthetics - Weight Loss and Wellness Charlotte,NC,Charlotte,https://doctorscotts.com/,contact@doctorscotts.com,contact@doctorscotts.com,(704) 282-9355; (704) 296-0800,,"bpc-157, cjc-1295, glp-1, glp1, ipamorelin, peptide, peptides, semaglutide, sermorelin, tesamorelin, tirzepatide",11,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Dvida Spa - Dvida Body & Skin Care,NC,Raleigh,https://dvidaspa.com/,info@dvidaspa.com,info@dvidaspa.com,(312) 374-3352; (470) 430-0204; (984) 253-3377,,"bpc-157, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, pt-141, semaglutide, sermorelin, tb-500, tesamorelin",12,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Dérive Health,NC,Charlotte,https://derivehealth.com/,info@derivehealth.com,info@derivehealth.com,(910) 321-8012; (980) 221-2689,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Elase Med Spa,NC,Raleigh,https://elase.com/,social@elase.com,social@elase.com,,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
