business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
"AllCare Health & Healing, LLC",OH,,,aprn45891@gmail.com,aprn45891@gmail.com,4192039939,,NAD,,med spa / clinic (intake form),peptide intake form (Drive),,contact: Tarra Waltmire; states served: Ohio
Astria Aesthetics,OH,Columbus,https://astriaaesthetics.com/,info@astriaaesthetics.com,info@astriaaesthetics.com,(380) 223-3331,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
BB Aesthetic,OH,Columbus,https://bbaesthetic.com/,info@bbaesthetic.com,info@bbaesthetic.com; cincy@bbaesthetic.com; info@strivepharmacy.com,(480) 626-4366; (513) 599-7345; (614) 934-5000,,"glp-1, peptide, peptides, sermorelin",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Beautibar weightloss and Wellness,OH,,,jami@beautibarweightloss.com,jami@beautibarweightloss.com,740-331-5002,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Jami Easterday; states served: Ohio Vermont Florida  New Mexico  North Dakota  Utah  Kentucky Iowa  Colorado  Washington  Idaho Arizona  Maine  New Hampshire  South Carolina Wyoming  Nevada
Beyond Skin Aesthetics,OH,Columbus,https://beyondskinaesthetics.com/,info@bsaoh.com,info@bsaoh.com,(380) 244-1448; (614) 532-6423; (614) 745-4177,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Elite Body and Laser,OH,Columbus,https://elitebodyandlaser.com/,elitemdbodyandlaser@gmail.com,elitemdbodyandlaser@gmail.com,(614) 334-4944; (855) 405-5993,,"peptide, peptides, semaglutide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Elite walk-in clinic,OH,,,elitewalkinclinic@gmail.com,elitewalkinclinic@gmail.com,6149669011,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Linda Awuah; states served: Ohio
Glow Medical Group,OH,,,glowmedicalgroup@gmail.com,glowmedicalgroup@gmail.com,6143928111,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide,",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Sarah Jones; states served: Ohio
IDEAL,OH,Columbus,https://slimmerimage.com/,admin@slimmerimage.com,admin@slimmerimage.com,(614) 577-1948,,"glp-1, glp1, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
KanodiaMA,OH,,,adugan1014@gmail.com,adugan1014@gmail.com,6143973855,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide, NAD",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Angela dugan; states served: Ohio
Ohio Men's Health,OH,Columbus,https://columbuslowt.com/,ocrmail@hhs.gov,ocrmail@hhs.gov; ohiomenshealth@gmail.com,(330) 662-1030,,"glp-1, peptide, semaglutide, sermorelin",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Optimal body and Health,OH,,,support@optimalbodyandhealth.com,support@optimalbodyandhealth.com,4199899631,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Cindy Vierd; states served: Ohio
Polaris Rejuvenation,OH,Columbus,https://polarisrejuvenation.com/,info@polarisrejuvenation.com,info@polarisrejuvenation.com; eben@eyebytes.com,(614) 427-9296,,"cjc-1295, ghk-cu, ipamorelin, nad+, peptide, peptides, pt-141, selank, semaglutide, semax, sermorelin, thymosin",12,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Pure Health Aesthetics & Wellness,OH,Columbus,https://aestheticsandwellness.com/,info@purehealthmedical.us,info@purehealthmedical.us,(614) 340-3090; (614) 839-1044,,"nad+, peptide, peptides, sermorelin",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Reborn Health & Aesthetics,OH,Columbus,https://rebornhealthandaesthetics.com/,info@rebornhealthandaesthetics.com,info@rebornhealthandaesthetics.com,(614) 425-7468,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Rejuve Medspa | Newcastle near Seattle, Bellevue, Sammamish, Renton",OH,Columbus,https://rejuvemedicalspa.com/,giaokaplan@gmail.com,giaokaplan@gmail.com,,,glp-1,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Serenity wellness and aesthetics,OH,,,stephanie@serenitywellness614.com,stephanie@serenitywellness614.com,4193765154,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Stephanie Morrison; states served: Ohio
The Confidence Lab - Aesthetics & IV Hydration,OH,Columbus,https://myconfidencelab.com/,info@myconfidencelab.com,info@myconfidencelab.com,(614) 219-9983; (800) 952-5210; (916) 445-1254,,"glp-1, nad+, peptide, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
The Luxe MedSpa Aesthetics & Bodycare,OH,Columbus,https://theluxemedicalspa.com/,info@theluxemedspaua.com,info@theluxemedspaua.com,(614) 453-2056,,"glp-1, peptide, sermorelin",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Vitality Health and Wellness, LLC",OH,,,info@vitalityhw.com,info@vitalityhw.com,419-302-5701,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Angela Allen; states served: Ohio & Michigan
"Columbus, OH Med Spa",OH,Columbus,https://medelaamor.com/,,,(614) 877-8289,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Concierge Medical & Medspa Services in New Albany, OH",OH,Columbus,https://yourconciergemd.health/,,,(614) 800-0034,,"glp-1, nad+, peptide, peptides, sermorelin",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Cosmetic Surgery, Dermatology & MedSpa in Columbus, OH",OH,Columbus,https://experiencecaps.com/,,,(614) 618-9282,,"glp-1, peptide, peptides, semaglutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Donaldson Plastic Surgery,OH,Columbus,https://donaldsonplasticsurgery.com/,,,(614) 326-4663; (614) 442-7610,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Hydrate Me Med Spa,OH,Columbus,https://hydratememedspa.com/,,,(614) 297-7565; (614) 965-6603; (614) 980-3808,,"glp-1, nad+, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
