business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
"61Five Health & Wellness - Weightloss, IV Hydration and Skin Care in Nashville",TN,Nashville,https://61five.com/,info@61five.com,info@61five.com; health@61five.com; mobileiv@61five.com,(615) 401-9380; (615) 521-0707,,"glp-1, nad+, peptide, peptides, retatrutide, semaglutide, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"A Prestige Aesthetics | #1 Med Spa In Franklin, TN",TN,Nashville,https://aprestigeaesthetics.com/,info@aprestigeaesthetics.com,info@aprestigeaesthetics.com; apryornp@aprestigeaesthetics.com,(615) 380-1818; (615) 996-2140,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Amálie Aesthetics: Medical Spa in Brentwood & Nashville TN,TN,Nashville,https://amalieaesthetics.com/,info@amalieaesthetics.com,info@amalieaesthetics.com,(615) 348-0633,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Anastacia Aesthetics,TN,Nashville,https://anastaciaaesthetics.com/,ellen@wilderkindagency.com,ellen@wilderkindagency.com,(615) 630-2021,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Brown Behavioral Health Services,TN,,,contact@brownbehavioral.com,contact@brownbehavioral.com,9018649563,,"Office use Semaglutide, Office use Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Avanti Cross-Brown; states served: TN and MS
Magnolia Family Practice,TN,,,clinical@magnoliapractice.com,clinical@magnoliapractice.com,8658880857,,"Office use Semaglutide, Office use Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Elizabeth Brownlie; states served: TN
MindSight Health and Wellness,TN,,,aprilsnelldnp@gmail.com,aprilsnelldnp@gmail.com,8652120733,,"Patient specific Semaglutide, Patient Specific Tirzepatide,",,med spa / clinic (intake form),peptide intake form (Drive),,contact: April Snell; states served: Tennessee
Nashville Health Pro,TN,Nashville,https://nashvillehealthpro.com/,nashvillehealthpro@gmail.com,nashvillehealthpro@gmail.com,(615) 249-3429; (629) 888-3256,,"nad+, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Speight Family Medical, LLC",TN,,,deannaspeight@mac.com,deannaspeight@mac.com,9018402102,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Deanna Speight; states served: TN
The Corner,TN,,,seerphyllis2@yahoo.com,seerphyllis2@yahoo.com,9015173059,,Patient specific Semaglutide,,med spa / clinic (intake form),peptide intake form (Drive),,"contact: Phyllis Thompson; states served: Tennessee, Arkansas"
Toxxology,TN,Nashville,https://toxxology.com/,service@toxxology.com,service@toxxology.com,(615) 436-8699,,"bpc-157, ghk-cu, nad+, peptide, peptides",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"VIP Weight Loss, Anti-Aging & Quick Care",TN,Nashville,https://vipweightlosscenters.com/,mark@vipweightlosscenters.com,mark@vipweightlosscenters.com,(615) 288-4442; (615) 375-8204; (615) 546-5804,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, melanotan, nad+, peptide, peptides, retatrutide, semaglutide, sermorelin, tb-500, tesamorelin, tirzepatide",15,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Piqure Aesthetics,TN,Nashville,https://piqurenashville.com/,,,(615) 208-2828,,"bpc-157, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
replenish nashville,TN,Nashville,https://replenishnashville.com/,,,(615) 600-1851,,"glp-1, ipamorelin, nad+, peptide, peptides, semaglutide, thymosin, tirzepatide",8,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
