business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Allen Medical Aesthetics,WA,Seattle,https://allenmedicalaesthetics.com/,frontdesk@allenmedicalaesthetics.com,frontdesk@allenmedicalaesthetics.com,(206) 414-9979,,semaglutide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Amy Epp FNPC LLC,WA,,,mrsepp@hotmail.com,mrsepp@hotmail.com,8054079636,,Patient Specific Tirzepatide,,med spa / clinic (intake form),peptide intake form (Drive),,contact: Amy Epp; states served: Washington
AT family practice,WA,,,admin@atfamilypracticegroup.com,admin@atfamilypracticegroup.com,2533946574,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Amandeep; states served: WA
Bevel Aesthetics,WA,Seattle,https://bevelseattle.com/,info@bevelseattle.com,info@bevelseattle.com; contact@spa.com; losangeles@spa.com; newyork@spa.com; sanfrancisco@spa.com,(206) 552-9262; (213) 575-0381; (416) 456-8631,,"peptide, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Find Peptide Clinics,WA,Seattle,https://findpeptideclinics.com/,hello@findpeptideclinics.com,hello@findpeptideclinics.com,(602) 614-9905,,"bpc-157, cjc-1295, dsip, epitalon, ghk-cu, glp-1, ipamorelin, mots-c, peptide, peptides, semax, sermorelin, tb-500, tesamorelin, thymosin",15,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Flow Wellness,WA,Seattle,https://flowwellness.com/,info@theflowwellness.com,info@theflowwellness.com,(206) 737-1922; (541) 422-3569; (971) 340-4090,,"ghk-cu, glp-1, glp1, nad+, peptide, peptides, semaglutide, sermorelin, tesamorelin, tirzepatide",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical spa,WA,Seattle,https://mahalaesthetics.com/,hello@mahalaesthetics.com,hello@mahalaesthetics.com,(425) 800-7882,,"peptide, peptides, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Spa,WA,Seattle,https://cocoaesthetique.com/,clinic@cocofinn.com,clinic@cocofinn.com,(206) 594-4450,,"cjc-1295, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Penelope And The Beauty Bar,WA,Seattle,https://penelopeandthebeautybar.com/,bookpenelope@gmail.com,bookpenelope@gmail.com,(206) 438-1750,,"glp-1, nad+, peptide, peptides, semaglutide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Plastic Surgery Seattle,WA,Seattle,https://allureesthetic.com/,marketing@realdrseattle.com,marketing@realdrseattle.com,(206) 209-0988; (206) 797-5449,,"nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Seattle Mobile IV Therapy,WA,Seattle,https://seattlemobileiv.com/,info@seattlemobileiv.com,info@seattlemobileiv.com,(206) 681-1083,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Seattle Plastic Surgery | Best Seattle Cosmetic Surgeon,WA,Seattle,https://seattleplasticsurgery.com/,marketing@realdrseattle.com,marketing@realdrseattle.com; marketingteam@realdrseattle.com,(206) 202-1939; (206) 324-1120; (206) 338-5299,,"glp-1, nad+, peptide, semaglutide, sermorelin, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
